Oakland African American Chamber Political Action Committee	Oakland African American Chamber of Commerce	Oakland AA Chamber
PETALUMA JOINT UNION HIGH 4,832	PETALUMA JOINT UNION HIGH	alternate_spelling
Petaluma River Council (prior version)	Petaluma River Council	alternate_spelling
Pete Conaty and Associates on behalf of the California Off-Road	Peter Conaty & Associates	alternate_spelling
Pete McHugh, Chairman, Santa Clara County Board of Supervisors	Santa Clara County Board of Supervisors	leadership
Peter Weiss, Mayor, Oceanside	CITY OF OCEANSIDE	leadership
Peterson Consulting, Inc	Peterson Consulting, Inc. (Representing a coalition of counties)	alternate_spelling
Petroleum Association, Northern California	WESTERN STATES PETROLEUM ASSOCIATION	alternate_spelling
Petroleum Association, San Joaquin Valley	WESTERN STATES PETROLEUM ASSOCIATION	alternate_spelling
Pew Center on the States Election Initiatives (prior version)	Pew Center on the States Election Initiatives	alternate_spelling
PFAC also	PROFESSIONAL FIDUCIARY ASSOCIATION OF CALIFORNIA	alternate_spelling
Pfizer Inc. (prior version)	Pfizer Pharmaceuticals	alternate_spelling
Pfizer Incorporated	Pfizer Pharmaceuticals	alternate_spelling
PFLAG (Parents, Families and Friends of Lesbians and Gays | Bakersfield	PFLAG Bakersfield	alternate_spelling
PFLAG Vacaville/North Solano County	PFLAG Vacaville/North	alternate_spelling
PFLAG | Central Coast Chapter	PFLAG, Central Coast Chapter	alternate_spelling
PFLAG | Long Beach	PFLAG Long Beach	alternate_spelling
PFLAG | Modesto/Stanislaus	PFLAG Modesto/Stanislaus	alternate_spelling
PFLAG | Oakhurst	PFLAG Oakhurst	alternate_spelling
PFLAG | Oakland/East Bay	PFLAG Oakland/East	alternate_spelling
PFLAG | Orange County	PFLAG Orange County	alternate_spelling
PFLAG | Redding/Shasta County	PFLAG Redding/Shasta County	alternate_spelling
PFLAG | Redlands	PFLAG Redlands	alternate_spelling
PFLAG | Riverside	PFLAG Riverside	alternate_spelling
PFLAG | Rossmoor/Walnut Creek	PFLAG Rossmoor/Walnut Creek	alternate_spelling
PFLAG | San Joaquin/Stockton	PFLAG San Joaquin/Stockton	alternate_spelling
PFLAG | San Jose/Peninsula	PFLAG San Jose/Penninsula	alternate_spelling
PFLAG | Santa Clarita	PFLAG Santa Clarita	alternate_spelling
PFLAG | Sonora/Mother Lode	PFLAG Sonora/Mother Lode	alternate_spelling
PFLAG | Temecula	PFLAG Temecula	alternate_spelling
PFLAG |National Office	Pflag National	alternate_spelling
PFLAG-San Francisco	PFLAG San Francisco	alternate_spelling
Pharmaceutical Care Management Association (previous version)	PHARMACEUTICAL CARE MANAGEMENT ASSOCIATION	alternate_spelling
Phibro-Tech (committee analysis)	Phibro-Tech	Phibro-Tech
Physicians and Dentists (UAPD) states in support that this	Union of American Physicians and Dentists	Union of American Physicians and Dentists
Physicians for a National Health Program California	Physicians for a National Health Program	Physicians for a National Health Program California
Physicians for Social Responsibility (National)	Physicians for Social Responsibility	Physicians for Social Responsibility
Physicians for Social Responsibility, Women's	Physicians for Social Responsibility	Physicians for Social Responsibility
Physicians for Social Responsibility--SF-Bay Area Chapter	Physicians for Social Responsibility	Physicians for Social Responsibility - SF Bay Area
PIA	PIA	PIA
Piedmont Gardens residents	Piedmont Gardens	Piedmont Gardens
Pilipino Association of Workers and Immigrants-Silicon Valley	Pilipino Association of Workers and Immigrants	alt spelling
Pillars of The Community (prior version)	Pillars of the Community	alt spelling
Pillsbury, Madison & Sutro (on behalf of client financial institutions as indentured trustees)	Pillsbury, Madison & Sutro	alt spelling
Pillsbury, Madison & Sutro, on behalf of client financial institutions as indentured	Pillsbury, Madison & Sutro	alt spelling
Pine Springs Acupuncture Clinic (04/23/14 version)	Pine Springs Acupuncture Clinic	alt spelling
Pinole (as amended April 18, 2006)	CITY OF PINOLE	alt spelling
Pinole (as amended May 2, 2006)	CITY OF PINOLE	alt spelling
Pinole City Clerk	CITY OF PINOLE	alt spelling
Pioneer Community Energy (UNREG)	Pioneer Community Energy	alt spelling
Pioneer Congregational Church (Sacramento)	Pioneer Congregational Church, Sacramento	alt spelling
Pioneers Memorial (prior version)	Pioneers Memorial	alt spelling
PITTSBURG UNIFIED 9,275	Pittsburg Unified School District	alt spelling
Placard program: San Francisco Municipal Transportation Agency	San Francisco Municipal Transportation Agency	alt spelling
Placentia Linda Hospital, Tenet California	Placentia Linda Hospital	alt spelling
Placentia Linda Hospital, Tenet California HealthSystem	Placentia Linda Hospital	alt spelling
Placer County Clerk- Recorder	Placer County Clerk-Recorder	alt spelling
Placer County Clerk-Recorder-Registrar Jim McCauley	Placer County Clerk-Recorder-Registrar of Voters	alt spelling
Placer County Contractors & Builders Exchange	Placer County Contractors Association & Builders Exchange	alt spelling
Placer County Water Agency ( Request Amendment)	Placer County Water Agency	alt spelling
Placer Group Sierra Club	Placer Group Sierra Club	alt spelling
Placer Independent Resource Center	Placer Independent Resource Services	alt spelling
PLACER UNION HIGH 4,424	Placer Union High School District	alt spelling
Planet Aid, Inc	PlanetAid, Inc	Planet Aid
Planned Parenthood Advocacy Project Lost Angeles County	Planned Parenthood Advocacy Project Los Angeles County	Planned Parenthood Advocacy Project LA County
Planned Parenthood Affiliates of California (PPAC), writing with an "oppose	Planned Parenthood Affiliates of California	Planned Parenthood Affiliates of California
Planned Parenthood of California: GOVERNOR'S VETO MESSAGE	Planned Parenthood Affiliates of California	Planned Parenthood Affiliates of California
Planned Parenthood of Santa Barbara, San Bernardino, Orange, Ventura and San Luis Obispo Counties	Planned Parenthood California Central Coast	Planned Parenthood California Central Coast
Planned Parenthood, Santa Barbara, Ventura and San Luis Obispo	Planned Parenthood of Santa Barbara, Ventura and San Luis Obispo Counties	Planned Parenthood SB/Ventura/SLO
Planned Parenthood-Pasadena	Planned Parenthood Pasadena	Planned Parenthood Pasadena
Pleasant Valley State Prison, Senior Psychologist Supervisor	Pleasant Valley State Prison, Senior Psychologist	Pleasant Valley State Prison
Pleasanton Chamber of Comerce	Pleasanton Chamber of Commerce	Pleasanton Chamber of Commerce
Plumbers, Steamfitters and Refrigeration Fitters United	Plumbers, Steamfitters & Refrigeration Fitters Local Union 467	Plumbers Steamfitters Refrigeration Fitters 467
Poway Unified School District (prior version)	Poway Unified School District	alternate_spelling
Power CA Action (prior version)	Power California Action	alternate_spelling
Power California -- END	Power California	alternate_spelling
Power California Action (prior version)	Power California Action	alternate_spelling
Power Light, Berkeley	Power Light Corporation, Berkeley	alternate_spelling
PowerLight, Berkeley	Power Light Corporation, Berkeley	alternate_spelling
PPG	PPG Industries, Works 15 Fresno	alternate_spelling
PPG Industries, Inc	PPG Industries, Works 15 Fresno	alternate_spelling
PPG, Industries, Inc	PPG Industries, Works 15 Fresno	alternate_spelling
Precast/ Prestressed Concrete Manufacturers Association of California	Precast/Prestressed Concrete Manufacturers Association of California	Precast/Prestressed Concrete Manufacturers Association of California
Precast/Prestressed Concrete Manufacturers Association of Calif	Precast/Prestressed Concrete Manufacturers Association of California	Precast/Prestressed Concrete Manufacturers Association of California
Presente.org, Matt Nelson, Executive Director	Presente.org	alternate_spelling
Prevent Child Abuse-California	California Consortium to Prevent Child Abuse	California Consortium to Prevent Child Abuse
previous version) Ancestry	Ancestry	alternate_spelling
previous version) Coalition for Genetic Data Protection	Coalition for Genetic Data Protection	alternate_spelling
previous version) Infectious Disease Association of California	Infectious Diseases Association of California	alternate_spelling
previous version) Oakland Privacy	OAKLAND PRIVACY	alternate_spelling
previous version) TechNet	TechNet	alternate_spelling
Pricewaterhouse Coopers LLP (opposition as Amended March 17, 2005)	PricewaterhouseCoopers	alternate_spelling
Pride at Work , National Organization for LGBT Labor	Pride at Work	alternate_spelling
Pride at Work AFL-CIO, Southern California and Washington, D.C	Pride at Work	alternate_spelling
Pride at Work Southern California	Pride at Work	alternate_spelling
Pride At Work, Southern California	Pride at Work	alternate_spelling
Pride Industries (prior version)	Pride Industries	alternate_spelling
Printed Circuit Alliance (9/12/95)	PRINTED CIRCUIT ALLIANCE	alternate_spelling
Privacy Rights Clearinghouse (3/26/15 version)	PRIVACY RIGHTS CLEARINGHOUSE	alternate_spelling
Privacy Rights Clearinghouse (if the amendment in Comment 3 is taken)	PRIVACY RIGHTS CLEARINGHOUSE	alternate_spelling
Privacy Rights Clearinghouse (letter for pre-amended version of bill)	PRIVACY RIGHTS CLEARINGHOUSE	alternate_spelling
Privacy Rights Clearinghouse (PRC) - 06/06/03	PRIVACY RIGHTS CLEARINGHOUSE	alternate_spelling
Private Essential Access , Community Hospitals	PRIVATE ESSENTIAL ACCESS COMMUNITY HOSPITALS	alternate_spelling
Private Essential Access Community Hospitals (as proposed to be amended)	PRIVATE ESSENTIAL ACCESS COMMUNITY HOSPITALS	alternate_spelling
Private Essential Access Community Hospitals (based on previous amended version)	PRIVATE ESSENTIAL ACCESS COMMUNITY HOSPITALS	alternate_spelling
Private Essential Access Community Hospitals (previous version)	PRIVATE ESSENTIAL ACCESS COMMUNITY HOSPITALS	alternate_spelling
Private Essential Access Community Hospitals (prior version)	PRIVATE ESSENTIAL ACCESS COMMUNITY HOSPITALS	alternate_spelling
Private Essential Access Community Hospitals, Inc. (prior version)	PRIVATE ESSENTIAL ACCESS COMMUNITY HOSPITALS	alternate_spelling
Private Essential Access Community Hospitals, Inc.: Sutter Health	PRIVATE ESSENTIAL ACCESS COMMUNITY HOSPITALS	alternate_spelling
Pro Kids, First Tee - San Diego	PRO KIDS, FIRST TEE SAN DIEGO	alternate_spelling
Pro-Craft Construction	Pro-Craft Construction Inc	alternate_spelling
Pro-Elite Senior Services (May 9, 2006 version)	Pro-Elite Senior Services	alternate_spelling
Pro-Family Law Center (prior version)	PRO-FAMILY LAW CENTER	alternate_spelling
Probate Law (oppose	Probate Law Section	alternate_spelling
Probate Law Section (sponsor)	Probate Law Section	alternate_spelling
Probate Referee Association	California Probate Referees' Association	alternate_spelling
Professional and Technical Engineers, IFPTE Local 21, Hearing Date: April 30, 2003 SB	Professional and Technical Engineers	Professional and Technical Engineers
Professional and Technical Engineers, IFPTE Local 21, Hearing Date: May 7, 2003 SB	Professional and Technical Engineers	Professional and Technical Engineers
Professional Community Management, an Associa Company	Professional Community Management - an Associa Company	alternate_spelling
Professional Engineers in California Government (as introduced)	PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT	alternate_spelling
Professional Engineers in California Government (co-source	PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT	alternate_spelling
Professional Engineers in California Government (previous version)	PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT	alternate_spelling
Professional Engineers in California Government (reflects previous amended version)	PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT	alternate_spelling
Professional Insurance Agents and Brokers of California	PROFESSIONAL INSURANCE AGENTS OF CALIFORNIA AND NEVADA	alternate_spelling
Professional Insurance Agents of Association (sponsor) California & Nevada	PROFESSIONAL INSURANCE AGENTS OF CALIFORNIA AND NEVADA	alternate_spelling
Professional Insurance Agents of California-Nevada (support if amended)	PROFESSIONAL INSURANCE AGENTS OF CALIFORNIA AND NEVADA	alternate_spelling
Professional Managers Association, AFSCME Local 1967	Professional Managers Association	alternate_spelling
Professional Medical Clinic for Women Sacramento, Inc. (7/25/2013)	Professional Medical Clinic for Women Sacramento, Inc.	alternate_spelling
Professional Musicians - Local 47	Professional Musicians	alternate_spelling
Professional Pharmaceutical Advocates (prior version)	Professional Pharmaceutical Advocates	alternate_spelling
Professional Technical Engineers Local 21	Professional and Technical Engineers 21	alternate_spelling
Professional Technical Engineers, IFPTE Local 21, AFL-CIO	Professional and Technical Engineers 21	alternate_spelling
Professionals (UNAC/ UHCP)	Professionals (UNAC/UHCP)	alternate_spelling
Professionals (UNAC/UHCP/AFSCME)	Professionals (UNAC/UHCP/AFSCME)	alternate_spelling
Progress House Inc	Progress House	alternate_spelling
Progressive Baptist Church	Progressive Baptist Church	canonical
Progressive Democrats of America - California	Progressive Democrats Of America, California	chapter
Progressive Democrats of America - Lake County Chapter	Progressive Democrats of America- Lake County Chapter	chapter
Progressive Democrats of America - Orange County Chapter	Progressive Democrats of America- Orange County Chapter	chapter
