originalname,editedname,relationship_type
AMERICAN CONGRESS OF OBSTETRICIANS AND GYNECOLOGISTS,AMERICAN CONGRESS OF OBSTETRICIANS AND GYNECOLOGISTS,canonical
"AMERICAN CONGRESS OF OBSTETRICIANS AND GYNECOLOGISTS, DISTRICT IX",AMERICAN CONGRESS OF OBSTETRICIANS AND GYNECOLOGISTS,alternate_spelling
AMERICAN COUNCIL OF ENGINEERING COMPANIES,AMERICAN COUNCIL OF ENGINEERING COMPANIES - CALIFORNIA,alternate_spelling
AMERICAN COUNCIL OF ENGINEERING COMPANIES - CALIFORNIA CHAPTER,AMERICAN COUNCIL OF ENGINEERING COMPANIES - CALIFORNIA,alternate_spelling
AMERICAN COUNCIL OF ENGINEERING COMPANIES - CALIFORNIA,AMERICAN COUNCIL OF ENGINEERING COMPANIES - CALIFORNIA,canonical
AMERICAN COUNCIL OF ENGINEERING COMPANIES CALIFORNIA,AMERICAN COUNCIL OF ENGINEERING COMPANIES - CALIFORNIA,alternate_spelling
"AMERICAN COUNCIL OF ENGINEERING COMPANIES, CALIFORNIA",AMERICAN COUNCIL OF ENGINEERING COMPANIES - CALIFORNIA,alternate_spelling
AMERICAN FAMILY HOUSING,AMERICAN FAMILY HOUSING,canonical
AMERICAN FARMLAND TRUST,AMERICAN FARMLAND TRUST,canonical
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",AFSCME,alternate_spelling
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME)",AFSCME,alternate_spelling
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME), AFL-CIO",AFSCME,alternate_spelling
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",AFSCME,alternate_spelling
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES...",AFSCME,alternate_spelling
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES",AFSCME,alternate_spelling
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES, AFL-CIO",AFSCME,alternate_spelling
"AMERICAN FEDERATION OF TEACHERS GUILD, LOCAL 1931","AMERICAN FEDERATION OF TEACHERS GUILD, LOCAL 1931",canonical
"AMERICAN FEDERATION OF TEACHERS, LOCAL 2121","AMERICAN FEDERATION OF TEACHERS, LOCAL 2121",canonical
AMERICAN FENCE ASSOCIATION,AMERICAN FENCE ASSOCIATION,canonical
AMERICAN FIRE SPRINKLER ASSOCIATION,AMERICAN FIRE SPRINKLER ASSOCIATION,canonical
AMERICAN FIRE SPRINKLER ASSOCIATION - CALIFORNIA CHAPTER,AMERICAN FIRE SPRINKLER ASSOCIATION - CALIFORNIA CHAPTER,canonical
AMERICAN FRIENDS SERVICE COMMITTEE,AMERICAN FRIENDS SERVICE COMMITTEE,canonical
AMERICAN G.I. FORUM OF CALIFORNIA,AMERICAN GI FORUM OF CALIFORNIA,alternate_spelling
AMERICAN GI FORUM OF CALIFORNIA,AMERICAN GI FORUM OF CALIFORNIA,canonical
AMERICAN HEART ASSOCIATION/AMERICAN STROKE ASSOCIATION,AMERICAN HEART ASSOCIATION/AMERICAN STROKE ASSOCIATION,canonical
AMERICAN INSTITUTE OF ARCHITECTS CALIFORNIA,AMERICAN INSTITUTE OF ARCHITECTS CALIFORNIA,canonical
"AMERICAN INSTITUTE OF ARCHITECTS, CALIFORNIA COUNCIL",AMERICAN INSTITUTE OF ARCHITECTS CALIFORNIA,alternate_spelling
"AMERICAN INSTITUTE OF ARCHITECTS, LOS ANGELES CHAPTER","AMERICAN INSTITUTE OF ARCHITECTS, LOS ANGELES CHAPTER",canonical
AMERICAN INSURANCE ASSOCIATION,AMERICAN INSURANCE ASSOCIATION,canonical
AMERICAN LAND CONSERVANCY,AMERICAN LAND CONSERVANCY,canonical
AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,canonical
AMERICAN LEGION â€” DEPARTMENT OF CALIFORNIA,AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,alternate_spelling
AMERICAN LEGION DEPARTMENT OF CALIFORNIA,AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,alternate_spelling
"AMERICAN LEGION LEGISLATIVE POST 861, CARMICHAEL","AMERICAN LEGION LEGISLATIVE POST 861, CARMICHAEL",canonical
"AMERICAN LEGION, DEPARTMENT OF CALIFORNIA",AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,alternate_spelling
AMERICAN LEGION-DEPARTMENT OF CALIFORNIA,AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,alternate_spelling
AMERICAN LUNG ASSOCIATION,AMERICAN LUNG ASSOCIATION,canonical
AMERICAN LUNG ASSOCIATION - CALIFORNIA,AMERICAN LUNG ASSOCIATION - CALIFORNIA,canonical
AMERICAN LUNG ASSOCIATION IN CALIFORNIA,AMERICAN LUNG ASSOCIATION - CALIFORNIA,alternate_spelling
AMERICAN PISTACHIO GROWERS,AMERICAN PISTACHIO GROWERS,canonical
AMERICAN PLANNING ASSOCIATION,AMERICAN PLANNING ASSOCIATION,canonical
AMERICAN PLANNING ASSOCIATION - CALIFORNIA CHAPTER,AMERICAN PLANNING ASSOCIATION,alternate_spelling
AMERICAN PLANNING ASSOCIATION (APA),AMERICAN PLANNING ASSOCIATION,alternate_spelling
AMERICAN PLANNING ASSOCIATION - CALIFORNIA CHAPTER,AMERICAN PLANNING ASSOCIATION,alternate_spelling
AMERICAN PLANNING ASSOCIATION CALIFORNIA CHAPTER,AMERICAN PLANNING ASSOCIATION,alternate_spelling
"AMERICAN PLANNING ASSOCIATION, CALIFORNIA CHAPTER",AMERICAN PLANNING ASSOCIATION,alternate_spelling
"AMERICAN PLANNING ASSOCIATION, CALIFORNIA CHAPTER","AMERICAN PLANNING ASSOCIATION, CALIFORNIA CHAPTER ASSOCIATION OF BAY AREA GOVERNMENTS",alternate_spelling
AMERICAN PLANNING ASSOCIATION-CALIFORNIA CHAPTER,AMERICAN PLANNING ASSOCIATION,alternate_spelling
AMERICAN RED CROSS,AMERICAN RED CROSS,canonical
AMERICAN RED CROSS CALIFORNIA CHAPTER,AMERICAN RED CROSS,alternate_spelling
AMERICAN SOCIETY FOR REPRODUCTIVE MEDICINE,AMERICAN SOCIETY FOR REPRODUCTIVE MEDICINE,canonical
AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,ASPCA,alternate_spelling
"AMERICAN SOCIETY OF CIVIL ENGINEERS, REGION 9","AMERICAN SOCIETY OF CIVIL ENGINEERS, REGION 9",canonical
AMERICAN SOCIETY OF GOLF COURSE ARCHITECTS,AMERICAN SOCIETY OF GOLF COURSE ARCHITECTS,canonical
AMERICAN SOCIETY OF REPRODUCTIVE MEDICINE,AMERICAN SOCIETY OF REPRODUCTIVE MEDICINE,canonical
AMERICAN SOLAR POWER,AMERICAN SOLAR POWER,canonical
AMERICAN UTILITY MANAGEMENT,AMERICAN UTILITY MANAGEMENT,canonical
AMERICAN WOOD COUNCIL,AMERICAN WOOD COUNCIL,canonical
"AMG & ASSOCIATES, LLC","AMG & ASSOCIATES, LLC",canonical
AMIGOS DE LOS RIO,AMIGOS DE LOS RIO,canonical
AMIGOS DE LOS RIOS,AMIGOS DE LOS RIOS,canonical
AMIGOS DEL AIRE LIBRE,AMIGOS DEL AIRE LIBRE,canonical
AMVETS - DEPARTMENT OF CALIFORNIA,AMVETS - DEPARTMENT OF CALIFORNIA,canonical
"AMVETS, DEPARTMENT OF CALIFORNIA","AMVETS, DEPARTMENT OF CALIFORNIA",canonical
AMY HIESTAD CONSULTING,AMY HIESTAD CONSULTING,canonical
AMY HIESTAND CONSULTING,AMY HIESTAD CONSULTING,alternate_spelling
ANAHEIM CHAMBER OF COMMERCE,ANAHEIM CHAMBER OF COMMERCE,canonical
