originalname,editedname,relationship_type
"APARTMENT ASSOCIATION, SOUTHERN CALIFORNIA CITIES",APARTMENT ASSOCIATION OF CALIFORNIA SOUTHERN CITIES,alternate_spelling
APPLE VALLEY MEN'S GOLF CLUB,APPLE VALLEY MEN'S GOLF CLUB,canonical
ARARAT HOME OF LOS ANGELES,ARARAT HOME OF LOS ANGELES,canonical
ARBOR MOBILE HOME PARK,ARBOR MOBILE HOME PARK,canonical
ARC AND UNITED CEREBRAL PALSY CALIFORNIA COLLABORATION,ARC AND UNITED CEREBRAL PALSY CALIFORNIA COLLABORATION,canonical
ARCADIA ASSOCIATION OF REALTORS,ARCADIA ASSOCIATION OF REALTORS,canonical
ARGYLE CIVIC ASSOCIATION,ARGYLE CIVIC ASSOCIATION,canonical
ASCENCIA,ASCENCIA,canonical
ASCENDA CAPITAL,ASCENDA CAPITAL,canonical
ASIAN AMERICANS ADVANCING JUSTICE,ASIAN AMERICANS ADVANCING JUSTICE,canonical
ASIAN AMERICANS ADVANCING JUSTICE - CALIFORNIA,ASIAN AMERICANS ADVANCING JUSTICE,alternate_spelling
ASIAN AMERICANS ADVANCING JUSTICEâ€”CALIFORNIA,ASIAN AMERICANS ADVANCING JUSTICE,alternate_spelling
ASIAN AMERICANS FOR COMMUNITY INVOLVEMENT,ASIAN AMERICANS FOR COMMUNITY INVOLVEMENT,canonical
ASIAN BUSINESS ASSOCIATION,ASIAN BUSINESS ASSOCIATION,canonical
ASIAN BUSINESS ASSOCIATION OF SILICON VALLEY,ASIAN BUSINESS ASSOCIATION OF SILICON VALLEY,canonical
ASIAN LAW ALLIANCE,ASIAN LAW ALLIANCE,canonical
ASIAN LAW CAUCUS,ASIAN LAW CAUCUS,canonical
ASIAN PACIFIC AMERICAN LEGAL CENTER,ASIAN PACIFIC AMERICAN LEGAL CENTER,canonical
ASIAN PACIFIC ENVIRONMENT NETWORK,ASIAN PACIFIC ENVIRONMENTAL NETWORK,alternate_spelling
ASIAN PACIFIC ENVIRONMENTAL NETWORK,ASIAN PACIFIC ENVIRONMENTAL NETWORK,canonical
ASIAN PACIFIC POLICY AND PLANNING COUNCIL,ASIAN PACIFIC POLICY AND PLANNING COUNCIL,canonical
ASIAN SOLIDARITY COLLECTIVE,ASIAN SOLIDARITY COLLECTIVE,canonical
ASIAN-AMERICANS ADVANCING JUSTICE,ASIAN-AMERICANS ADVANCING JUSTICE,canonical
ASPIRA NET,ASPIRANET,alternate_spelling
ASPIRANET,ASPIRANET,canonical
ASPIRATNET,ASPIRANET,alternate_spelling
"ASSERT, INC.","ASSERT, INC.",canonical
ASSOCIATED BUILDERS AND CONTRACTORS,ASSOCIATED BUILDERS AND CONTRACTORS,canonical
ASSOCIATED BUILDERS AND CONTRACTORS - MERIT TRAINING TRUST FUND,ASSOCIATED BUILDERS AND CONTRACTORS - MERIT TRAINING TRUST FUND,canonical
ASSOCIATED BUILDERS AND CONTRACTORS - SOUTHERN CALIFORNIA CHAPTER,ASSOCIATED BUILDERS AND CONTRACTORS - SOUTHERN CALIFORNIA CHAPTER,canonical
ASSOCIATED BUILDERS AND CONTRACTORS - NORTHERN CALIFORNIA,ASSOCIATED BUILDERS AND CONTRACTORS - NORTHERN CALIFORNIA,canonical
ASSOCIATED BUILDERS AND CONTRACTORS NORTHERN CALIFORNIA CHAPTER,ASSOCIATED BUILDERS AND CONTRACTORS - NORTHERN CALIFORNIA,alternate_spelling
ASSOCIATED BUILDERS AND CONTRACTORS OF CALIFORNIA,ASSOCIATED BUILDERS AND CONTRACTORS,chapter
ASSOCIATED BUILDERS AND CONTRACTORS OF CALIFORNIA CALIFORNIA,ASSOCIATED BUILDERS AND CONTRACTORS,alternate_spelling
ASSOCIATED BUILDERS AND CONTRACTORS OF NORTHERN CALIFORNIA,ASSOCIATED BUILDERS AND CONTRACTORS OF NORTHERN CALIFORNIA,canonical
"ASSOCIATED BUILDERS AND CONTRACTORS, INC",ASSOCIATED BUILDERS AND CONTRACTORS,alternate_spelling
ASSOCIATED CALIFORNIA LOGGERS,ASSOCIATED CALIFORNIA LOGGERS,canonical
ASSOCIATED COOPERATIVES AND THE TWIN PINES COOPERATIVE FOUNDATION,ASSOCIATED COOPERATIVES AND THE TWIN PINES COOPERATIVE FOUNDATION,canonical
ASSOCIATED COOPERATIVES OF CALIFORNIA,ASSOCIATED COOPERATIVES OF CALIFORNIA,canonical
ASSOCIATED GENERAL CONTRACTORS,ASSOCIATED GENERAL CONTRACTORS,canonical
ASSOCIATED STUDENTS OF THE UNIVERSITY OF CALIFORNIA,ASSOCIATED STUDENTS OF THE UNIVERSITY OF CALIFORNIA,canonical
"ASSOCIATED STUDENTS OF UNIVERSITY OF CALIFORNIA, IRVINE","ASSOCIATED STUDENTS OF UNIVERSITY OF CALIFORNIA, IRVINE",canonical
ASSOCIATES GROUP FOR AFFORDABLE HOUSING,ASSOCIATES GROUP FOR AFFORDABLE HOUSING,canonical
ASSOCIATION FOR ENERGY AFFORDABILITY,ASSOCIATION FOR ENERGY AFFORDABILITY,canonical
ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,canonical
ASSOCIATION OF BAY AREA GOVERNMENTS,ASSOCIATION OF BAY AREA GOVERNMENTS,canonical
ASSOCIATION OF BAY AREA GOVERNMENTS (ABAG),ASSOCIATION OF BAY AREA GOVERNMENTS,alternate_spelling
ASSOCIATION OF CA CITIES - ORANGE COUNTY,ASSOCIATION OF CALIFORNIACITIES - ORANGE COUNTY,alternate_spelling
ASSOCIATION OF CA WATER AGENCIES,ASSOCIATION OF CALIFORNIAWATER AGENCIES,alternate_spelling
ASSOCIATION OF CALIFORNIA AIRPORTS,ASSOCIATION OF CALIFORNIA AIRPORTS,canonical
ASSOCIATION OF CALIFORNIA CAR CLUBS,ASSOCIATION OF CALIFORNIA CAR CLUBS,canonical
ASSOCIATION OF CALIFORNIA CAREGIVER RESOURCE CENTERS,ASSOCIATION OF CALIFORNIA CAREGIVER RESOURCE CENTERS,canonical
ASSOCIATION OF CALIFORNIA CITIES - ORANGE COUNTY,ASSOCIATION OF CALIFORNIA CITIES - ORANGE COUNTY,canonical
ASSOCIATION OF CALIFORNIA CITIES OF ORANGE COUNTY,ASSOCIATION OF CALIFORNIA CITIES - ORANGE COUNTY,alternate_spelling
ASSOCIATION OF CALIFORNIA CITIES- ORANGE COUNTY,ASSOCIATION OF CALIFORNIA CITIES- ORANGE COUNTY,canonical
ASSOCIATION OF CALIFORNIA EGG FARMERS,ASSOCIATION OF CALIFORNIA EGG FARMERS,canonical
ASSOCIATION OF CALIFORNIA HEALTH CARE DISTRICTS,ASSOCIATION OF CALIFORNIA HEALTHCARE DISTRICTS,alternate_spelling
ASSOCIATION OF CALIFORNIA HEALTHCARE DISTRICTS,ASSOCIATION OF CALIFORNIA HEALTHCARE DISTRICTS,canonical
ASSOCIATION OF CALIFORNIA LIFE AND HEALTH INSURANCE COMPANIES,ASSOCIATION OF CALIFORNIA LIFE AND HEALTH INSURANCE COMPANIES,canonical
ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS,ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS,canonical
ASSOCIATION OF CALIFORNIA WATER AGENCIES,ASSOCIATION OF CALIFORNIA WATER AGENCIES,canonical
ASSOCIATION OF COMMUNITY HUMAN SERVICE AGENCIES,ASSOCIATION OF COMMUNITY HUMAN SERVICE AGENCIES,canonical
ASSOCIATION OF ENVIRONMENTAL PROFESSIONALS,ASSOCIATION OF ENVIRONMENTAL PROFESSIONALS,canonical
ASSOCIATION OF NORTHERN CALIFORNIA ONCOLOGISTS,ASSOCIATION OF NORTHERN CALIFORNIA ONCOLOGISTS,canonical
ASSOCIATION OF REALTORS,CALIFORNIA ASSOCIATION OF REALTORS,alternate_spelling
ASSOCIATION OF REGIONAL CENTER AGENCIES,ASSOCIATION OF REGIONAL CENTER AGENCIES,canonical
ASTHMA COALITION OF LOS ANGELES COUNTY,ASTHMA COALITION OF LOS ANGELES COUNTY,canonical
ASTRON DEVELOPMENT CORP,ASTRON DEVELOPMENT CORP,canonical
ATTORNEY GENERAL KAMALA HARRIS,ATTORNEY GENERAL KAMALA HARRIS,canonical
ATTORNEY GENERAL ROB BONTA,ATTORNEY GENERAL ROB BONTA,canonical
ATWATER VILLAGE NEIGHBORHOOD COUNCIL,ATWATER VILLAGE NEIGHBORHOOD COUNCIL,canonical
AUDUBON CALIFORNIA,AUDUBON CALIFORNIA,canonical
AUDUBON INTERNATIONAL,AUDUBON INTERNATIONAL,canonical
AUDUBON SOCIETY,AUDUBON SOCIETY,canonical
AURORA SOLAR,AURORA SOLAR,canonical
AUTHORITY,AUTHORITY,canonical
AUTISM SOCIETY SAN FRANCISCO,AUTISM SOCIETY SAN FRANCISCO,canonical
AUTISTIC PEOPLE OF COLOR FUND,AUTISTIC PEOPLE OF COLOR FUND,canonical
AVALON GARDENS COMMUNITY ORGANIZATION,AVALON GARDENS COMMUNITY ORGANIZATION,canonical
AWARE-LA,AWARE-LA,canonical
AYPAL,AYPAL,canonical
AZUL,AZUL,canonical
AZUSA,CITY OF AZUSA,alternate_spelling
AZUSA PACIFIC UNIVERSITY,AZUSA PACIFIC UNIVERSITY,canonical
"BAHA'I FAITH, SACRAMENTO","BAHA'I FAITH, SACRAMENTO",canonical
BAKERSFIELD ASSOCIATION OF REALTORS,BAKERSFIELD ASSOCIATION OF REALTORS,canonical
BAL TRAILER COURT,BAL TRAILER COURT,canonical
BAR ARCHITECTS,BAR ARCHITECTS,canonical
BARBARY COAST NEIGHBORHOOD ASSOCIATION,BARBARY COAST NEIGHBORHOOD ASSOCIATION,canonical
BARONA BAND OF MISSION INDIANS,BARONA BAND OF MISSION INDIANS,canonical
BASIS STUDIO,BASIS STUDIO,canonical
"BASTA, INC.","BASTA, INC.",canonical
BAY AREA ASSET FUNDERS NETWORK,BAY AREA ASSET FUNDERS NETWORK,canonical
BAY AREA BUILDERS EXCHANGE,BAY AREA BUILDERS EXCHANGE,canonical
BAY AREA COMMUNITY LAND TRUST,BAY AREA COMMUNITY LAND TRUST,canonical
BAY AREA COMMUNITY SERVICES,BAY AREA COMMUNITY SERVICES,canonical
BAY AREA COUNCIL,BAY AREA COUNCIL,canonical
BAY AREA GOLF CLUB OF NORTHERN CALIFORNIA,BAY AREA GOLF CLUB OF NORTHERN CALIFORNIA,canonical
BAY AREA HOUSING ACTION COALITION,BAY AREA HOUSING ACTION COALITION,canonical
BAY AREA HOUSING ADVOCACY COALITION,BAY AREA HOUSING ADVOCACY COALITION,canonical
BAY AREA LEGAL AID,BAY AREA LEGAL AID,canonical
BAY AREA OPEN SPACE COUNCIL,BAY AREA OPEN SPACE COUNCIL,canonical
BAY AREA RAPID TRANSIT,BAY AREA RAPID TRANSIT,canonical
BAY AREA REGIONAL HEALTH INEQUITIES INITIATIVE,BAY AREA REGIONAL HEALTH INEQUITIES INITIATIVE,canonical
BAY AREA STUDENT ACTIVISTS,BAY AREA STUDENT ACTIVISTS,canonical
BAY AREA TRANSPORTATION WORKING GROUP,BAY AREA TRANSPORTATION WORKING GROUP,canonical
BAY EAST ASSOCIATION OF REALTORS,BAY EAST ASSOCIATION OF REALTORS,canonical
BAY FEDERAL CREDIT UNION,BAY FEDERAL CREDIT UNION,canonical
BAYC,BAYC,canonical
BAYSIDE COMMUNITY CENTER,BAYSIDE COMMUNITY CENTER,canonical
BAYVIEW/HUNTERS POINT COMMUNITY LEGAL,BAYVIEW/HUNTERS POINT COMMUNITY LEGAL,canonical
BE.GROU,BE.GROU,canonical
"BEACH, LAKE FOREST, LAKEWOOD, AND SAN MARCOS","BEACH, LAKE FOREST, LAKEWOOD, AND SAN MARCOS",canonical
BEACHWOOD MOBILE HOME PARK,BEACHWOOD MOBILE HOME PARK,canonical
BEACON COMMUNITIES/ABHOW,BEACON COMMUNITIES/ABHOW,canonical
BEAGLE FREEDOM PROJECT,BEAGLE FREEDOM PROJECT,canonical
"BEL AIR CHURCH, LONG BEACH","BEL AIR CHURCH, LONG BEACH",canonical
"BEL AIR CHURCH, PASADENA","BEL AIR CHURCH, PASADENA",canonical
BEL MARIN KEYS COMMUNITY SERVICE DISTRICT,BEL MARIN KEYS COMMUNITY SERVICE DISTRICT,canonical
BELMONT SHORES MOBILE ESTATES,BELMONT SHORES MOBILE ESTATES,canonical
BELMONT SHORES MOBILE HOME ESTATES,BELMONT SHORES MOBILE HOME ESTATES,canonical
"BELOVED EVERYBODY CHURCH, SAN PEDRO","BELOVED EVERYBODY CHURCH, SAN PEDRO",canonical
BELVEDERE RESIDENTS FOR INTELLIGENT GROWTH,BELVEDERE RESIDENTS FOR INTELLIGENT GROWTH,canonical
BEND THE ARC: A JEWISH PARTNERSHIP FOR JUSTICE,BEND THE ARC: A JEWISH PARTNERSHIP FOR JUSTICE,canonical
BEND THE ARC: JEWISH ACTION,BEND THE ARC: JEWISH ACTION,canonical
"BEND THE ARC: JEWISH ACTION, SOUTHERN CALIFORNIA","BEND THE ARC: JEWISH ACTION, SOUTHERN CALIFORNIA",canonical
BENICIA TREE FOUNDATION,BENICIA TREE FOUNDATION,canonical
BERKELEY ASSOCIATED NEIGHBORS AGAINST NON-AFFORDABLE HOUSING,BERKELEY ASSOCIATED NEIGHBORS AGAINST NON-AFFORDABLE HOUSING,canonical
BERKELEY CLIMATE ACTION COALITION,BERKELEY CLIMATE ACTION COALITION,canonical
BERKELEY COUNCILMEMBER LORI DROSTE,BERKELEY COUNCILMEMBER LORI DROSTE,canonical
BERKELEY COUNCILMEMBER RIGEL ROBINSON,BERKELEY COUNCILMEMBER RIGEL ROBINSON,canonical
BERKELEY DESIGN ADVOCATES,BERKELEY DESIGN ADVOCATES,canonical
BERKELEY FOOD AND HOUSING PROJECT,BERKELEY FOOD AND HOUSING PROJECT,canonical
BERKELEY NEEDLE EXCHANGE EMERGENCY DISTRIBUTION (BERKELEY NEED),BERKELEY NEEDLE EXCHANGE EMERGENCY DISTRIBUTION (BERKELEY NEED),canonical
BERKELEY ORGANIZING CONGREGATIONS FOR ACTION,BERKELEY ORGANIZING CONGREGATIONS FOR ACTION,canonical
BERKELEY PROPERTY OWNER'S ASSOCIATION,BERKELEY PROPERTY OWNER'S ASSOCIATION,canonical
BERKELEY PROPERTY OWNERS' ASSOCIATION,BERKELEY PROPERTY OWNERS' ASSOCIATION,canonical
BERKELEY RENT STABILIZATION PROGRAM,BERKELEY RENT STABILIZATION PROGRAM,canonical
BERKELEY TENANTS UNION,BERKELEY TENANTS UNION,canonical
"BERKELEY, MAYWOOD, AND OAKLAND","BERKELEY, MAYWOOD, AND OAKLAND",canonical
BERKELEY; CITY OF,CITY OF BERKELEY,alternate_spelling
BERNAL HEIGHTS NEIGHBORHOOD CENTER,BERNAL HEIGHTS NEIGHBORHOOD CENTER,canonical
"BESARO MOBILE HOME PARK HOMEOWNERS' ASSOCIATION, FREMONT",BESARO MOBILEHOME PARK,alternate_spelling
BESARO MOBILEHOME PARK,BESARO MOBILEHOME PARK,canonical
"BESSIRE AND CASENHISER, INC","BESSIRE AND CASENHISER, INC",canonical
BEST FRIENDS ANIMAL SOCIETY,BEST FRIENDS ANIMAL SOCIETY,canonical
BET TZEDEK,BET TZEDEK,canonical
BET TZEDEK LEGAL SERVICES (LOS ANGELES),BET TZEDEK,alternate_spelling
BETTER WAY FORWARD TO HOUSE CALIFORNIA,A BETTER WAY FORWARD TO HOUSE CALIFORNIA,alternate_spelling
BETTERMENT OF CALIFORNIA,BETTERMENT OF CALIFORNIA,canonical
"BEULAH BAPTIST CHURCH, INGLEWOOD","BEULAH BAPTIST CHURCH, INGLEWOOD",canonical
BEVERLY HILLS/GREATER LOS ANGELES ASSOCIATION OF REALTORS,BEVERLY HILLS/GREATER LOS ANGELES ASSOCIATION OF REALTORS,canonical
BEYOND EMANCIPATION,BEYOND EMANCIPATION,canonical
"BHV CENTER STREET PROPERTIES, INC.","BHV CENTER STREET PROPERTIES, INC.",canonical
BIENESTAR HUMAN SERVICES,BIENESTAR HUMAN SERVICES,canonical
BIG CITY MAYORS,BIG CITY MAYORS,canonical
BIG PINE PAIUTE TRIBE OF THE OWENS VALLEY,BIG PINE PAIUTE TRIBE OF THE OWENS VALLEY,canonical
BIG SUR LAND TRUST,BIG SUR LAND TRUST,canonical
BIG VALLEY BAND OF POMO INDIANS,BIG VALLEY BAND OF POMO INDIANS,canonical
BIKE EAST BAY,BIKE EAST BAY,canonical
BIKE SAN DIEGO,BIKE SAN DIEGO,canonical
BIKEVENTURA,BIKEVENTURA,canonical
"BILL FREEMAN MINISTRIES AND INTERFAITH SOLIDARITY NETWORK, LOS ANGELES","BILL FREEMAN MINISTRIES AND INTERFAITH SOLIDARITY NETWORK, LOS ANGELES",canonical
BILL WILSON CENTER,BILL WILSON CENTER,canonical
"BILL WILSON CENTER, SANTA CLARA",BILL WILSON CENTER,alternate_spelling
BIODIVERSITY FIRST!,BIODIVERSITY FIRST!,canonical
BIRCH HILLS WOMEN'S GOLF CLUB,BIRCH HILLS WOMEN'S GOLF CLUB,canonical
BIRTCHER ANDERSON REALTY MANAGEMENT,BIRTCHER ANDERSON REALTY MANAGEMENT,canonical
BISHOP RANCH,BISHOP RANCH,canonical
BIZFED,BIZFED,canonical
BLACK CAUCUS OF CALIFORNIA COMMUNITY COLLEGES,BLACK CAUCUS OF CALIFORNIA COMMUNITY COLLEGES,canonical
BLACK COMMUNITY CLERGY & LABOR ALLIANCE,BLACK COMMUNITY CLERGY & LABOR ALLIANCE,canonical
BLACK LEADERSHIP COUNCIL,BLACK LEADERSHIP COUNCIL,canonical
BLAYDES & ASSOCIATES,BLAYDES & ASSOCIATES,canonical
"BLUE & GOLD STAR MOBILEHOME PARK HOMEOWNERS' ASSOCIATION, SANTA CRUZ","BLUE & GOLD STAR MOBILEHOME PARK HOMEOWNERS' ASSOCIATION, SANTA CRUZ",canonical
BLUE LAKE,BLUE LAKE,canonical
"BLUE PACIFIC MOBILE HOME PARK HOMEOWNERS' ASSOCIATION, APTOS",BLUE PACIFIC MOBILE HOME PARK HOMEOWNERS' ASSOCIATION,alternate_spelling
BLUE PACIFIC MOBILE HOME PARK HOMEOWNERS' ASSOCIATION,BLUE PACIFIC MOBILE HOME PARK HOMEOWNERS' ASSOCIATION,canonical
BLUE SHIELD OF CALIFORNIA,BLUE SHIELD OF CALIFORNIA,canonical
BOARD OF DIRECTORS OF THE RANCHO YOLO COMMUNITY ASSOCIATION,BOARD OF DIRECTORS OF THE RANCHO YOLO COMMUNITY ASSOCIATION,canonical
"BOARD OF EQUALIZATION, 4TH DISTRICT","BOARD OF EQUALIZATION, 4TH DISTRICT",canonical
"BOARD PRESIDENT KEITH CARSON, COUNTY OF ALAMEDA","BOARD PRESIDENT KEITH CARSON, COUNTY OF ALAMEDA",canonical
BOB WILSON CENTER,BOB WILSON CENTER,canonical
BOLSA CHICA LAND TRUST,BOLSA CHICA LAND TRUST,canonical
"BOMA, CALIFORNIA AND SAN DIEGO","BOMA, CALIFORNIA AND SAN DIEGO",canonical
BONITA HOUSE,BONITA HOUSE,canonical
BONITA UNIFIED SCHOOL DISTRICT,BONITA UNIFIED SCHOOL DISTRICT,canonical
BONNEWIT DEVELOPMENT SERVICES (OAKLAND),BONNEWIT DEVELOPMENT SERVICES (OAKLAND),canonical
BOULDERS AT THE LAKE MHP,BOULDERS AT THE LAKE MHP,canonical
BOYLE HEIGHTS COMMUNITY PARTNERS,BOYLE HEIGHTS COMMUNITY PARTNERS,canonical
BOYS & GIRLS CLUBS OF CAPISTRANO VALLEY,BOYS & GIRLS CLUBS OF CAPISTRANO VALLEY,canonical
BOYS & GIRLS CLUBS OF METRO LOS ANGELES,BOYS & GIRLS CLUBS OF METRO LOS ANGELES,canonical
BOYS & GIRLS CLUBS OF THE LOS ANGELES HARBOR,BOYS & GIRLS CLUBS OF THE LOS ANGELES HARBOR,canonical
BRADY UNITED AGAINST GUN VIOLENCE - SAN FRANCISCO CHAPTER,BRADY UNITED AGAINST GUN VIOLENCE - SAN FRANCISCO CHAPTER,canonical
BRAWLEY,BRAWLEY,canonical
BRAYER ELECTRIC COMPANY,BRAYER ELECTRIC COMPANY,canonical
BRC ADVISORS,BRC ADVISORS,canonical
BREAD FOR THE WORLD,BREAD FOR THE WORLD,canonical
BREAST CANCER FUND,BREAST CANCER FUND,canonical
BREATHE CALIFORNIA,BREATHE CALIFORNIA,canonical
BRENTWOOD ALLIANCE OF CANYONS & HILLSIDES,BRENTWOOD ALLIANCE OF CANYONS & HILLSIDES,canonical
BRENTWOOD COMMUNITY COUNCIL,BRENTWOOD COMMUNITY COUNCIL,canonical
BRENTWOOD HOMEOWNERS ASSOCIATION,BRENTWOOD HOMEOWNERS ASSOCIATION,canonical
BRENTWOOD HOUSING AND ENVIRONMENTAL COALITION,BRENTWOOD HOUSING AND ENVIRONMENTAL COALITION,canonical
BRIDGE HOUSING,BRIDGE HOUSING CORPORATION,alternate_spelling
BRIDGE HOUSING CORPORATION,BRIDGE HOUSING CORPORATION,canonical
"BRIGHT SKY SOLAR HOLDINGS, LLC","BRIGHT SKY SOLAR HOLDINGS, LLC",canonical
BRIGHTER BEGINNINGS,BRIGHTER BEGINNINGS,canonical
BRIGHTLINE,BRIGHTLINE,canonical
BRIGHTSOURCE,BRIGHTSOURCE,canonical
BRILLIANT,BRILLIANT,canonical
BRILLIANT CORNERS,BRILLIANT CORNERS,canonical
BROCK REAL ESTATE,BROCK REAL ESTATE,canonical
BROOKSIDE MEN'S GOLF CLUB,BROOKSIDE MEN'S GOLF CLUB,canonical
BROTHERHOOD CRUSADE,BROTHERHOOD CRUSADE,canonical
BRYNHURST AVENUE BLOCK CLUB,BRYNHURST AVENUE BLOCK CLUB,canonical
BRYNHURST AVENUE BOCK CLUB,BRYNHURST AVENUE BOCK CLUB,canonical
BUCKELEW PROGRAMS,BUCKELEW PROGRAMS,canonical
BUILD,BUILD,canonical
BUILD AFFORDABLE FASTER CA,BUILD AFFORDABLE FASTER CALIFORNIA,alternate_spelling
BUILD AFFORDABLE FASTER CALIFORNIA,BUILD AFFORDABLE FASTER CALIFORNIA,canonical
BUILD FUTURES,BUILD FUTURES,canonical
BUILD IT GREEN,BUILD IT GREEN,canonical
BUILD.COM,BUILD.COM,canonical
BUILDERS EXCHANGE OF SANTA CLARA COUNTY,BUILDERS EXCHANGE OF SANTA CLARA COUNTY,canonical
BUILDERS EXCHANGE OF STOCKTON,BUILDERS EXCHANGE OF STOCKTON,canonical
BUILDING FUTURES WITH WOMEN AND CHILDREN,BUILDING FUTURES WITH WOMEN AND CHILDREN,canonical
BUILDING INDUSTRY ASSOC. - LOS ANGELES/VENTURA CHAPTER,BUILDING INDUSTRY ASSOC. - LOS ANGELES/VENTURA CHAPTER,canonical
BUILDING INDUSTRY ASSOC. OF ORANGE COUNTY,BUILDING INDUSTRY ASSOCIATION OF ORANGE COUNTY,alternate_spelling
BUILDING INDUSTRY ASSOC. OF SAN DIEGO,BUILDING INDUSTRY ASSOCIATION OF SAN DIEGO,alternate_spelling
"BUILDING INDUSTRY ASSOC. OF SOUTHERN CA, BALDY VIEW CHAPTER","BUILDING INDUSTRY ASSOC. OF SOUTHERN CA, BALDY VIEW CHAPTER",canonical
BUILDING INDUSTRY ASSOCIATION - BAY AREA,BUILDING INDUSTRY ASSOCIATION OF THE BAY AREA,alternate_spelling
BUILDING INDUSTRY ASSOCIATION OF FRESNO AND MADERA COUNTIES,BUILDING INDUSTRY ASSOCIATION OF FRESNO AND MADERA COUNTIES,canonical
BUILDING INDUSTRY ASSOCIATION OF ORANGE COUNTY,BUILDING INDUSTRY ASSOCIATION OF ORANGE COUNTY,canonical
BUILDING INDUSTRY ASSOCIATION OF SAN DIEGO,BUILDING INDUSTRY ASSOCIATION OF SAN DIEGO,canonical
BUILDING INDUSTRY ASSOCIATION OF SAN DIEGO COUNTY,BUILDING INDUSTRY ASSOCIATION OF SAN DIEGO,alternate_spelling
BUILDING INDUSTRY ASSOCIATION OF SAN DIEGO COUNTY BURBANK HOUSING CORPORATION,BUILDING INDUSTRY ASSOCIATION OF SAN DIEGO COUNTY,alternate_spelling
BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA,BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA,canonical
"BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA, BALDY VIEW","BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA, BALDY VIEW",canonical
"BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA, LOS ANGELES &","BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA, LOS ANGELES & VENTURA CHAPTER",alternate_spelling
"BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA, LOS ANGELES & VENTURA CHAPTER","BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA, LOS ANGELES & VENTURA CHAPTER",canonical
"BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA, ORANGE COUNTY CHAPTER","BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA, ORANGE COUNTY CHAPTER",canonical
BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA-IRVINE AND RIVERSIDE,BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA-IRVINE AND RIVERSIDE,canonical
BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA'S LOS ANGELES/VENTURA CHAPTER,"BUILDING INDUSTRY ASSOCIATION OF SOUTHERN CALIFORNIA, LOS ANGELES & VENTURA CHAPTER",alternate_spelling
BUILDING INDUSTRY ASSOCIATION OF THE BAY AREA,BUILDING INDUSTRY ASSOCIATION OF THE BAY AREA,canonical
BUILDING INDUSTRY ASSOCIATION OF THE GREATER VALLEY,BUILDING INDUSTRY ASSOCIATION OF THE GREATER VALLEY,canonical
BUILDING INDUSTRY ASSOCIATION OF TULARE/KINGS COUNTY,BUILDING INDUSTRY ASSOCIATION OF TULARE/KINGS COUNTY,canonical
"BUILDING INDUSTRY ASSOCIATION OF TULARE/KINGS COUNTY, INC.",BUILDING INDUSTRY ASSOCIATION OF TULARE/KINGS COUNTY,alternate_spelling
BUILDING INDUSTRY ASSOCIATION RIVERSIDE COUNTY CHAPTER,"BUILDING INDUSTRY ASSOCIATION, RIVERSIDE COUNTY CHAPTER",alternate_spelling
"BUILDING INDUSTRY ASSOCIATION, RIVERSIDE COUNTY CHAPTER","BUILDING INDUSTRY ASSOCIATION, RIVERSIDE COUNTY CHAPTER",canonical
BUILDING OPPORTUNITIES FOR SELF-SUFFICIENCY,BUILDING OPPORTUNITIES FOR SELF-SUFFICIENCY (BOSS),alternate_spelling
BUILDING OPPORTUNITIES FOR SELF-SUFFICIENCY (BOSS),BUILDING OPPORTUNITIES FOR SELF-SUFFICIENCY (BOSS),canonical
BUILDING OWNERS AND MANAGERS ASSOCIATION OF CALIFORNIA,BUILDING OWNERS AND MANAGERS ASSOCIATION OF CALIFORNIA,canonical
BUILDING OWNERS AND MANAGERS ASSOCIATION OF CALIFORNIA (BOMA),BUILDING OWNERS AND MANAGERS ASSOCIATION OF CALIFORNIA,alternate_spelling
BUILDING OWNERS AND MANAGERS ASSOCIATION OF GREATER LOS ANGELES,BUILDING OWNERS AND MANAGERS ASSOCIATION OF GREATER LOS ANGELES,canonical
BUILDING THE CALIFORNIA DREAM ALLIANCE,BUILDING THE CALIFORNIA DREAM ALLIANCE,canonical
BUILDSTRONG CALIFORNIA,BUILDSTRONG CALIFORNIA,canonical
