org_name,bills_supported
Los Angeles County Sheriff's Office,20
Los Angeles County Probation Officers' Union,20
Los Angeles County Probation Department Union Local 685,20
Judicial Council of CA,20
Indivisible Windsor,20
Indivisible San Bernardino,20
Indio Chamber of Commerce,20
Greater San Diego Chamber of Commerce,20
Etta,20
"Eric Garcetti, Mayor",20
Education Trust West,20
Democrats for Israel - CA,20
City of Gilroy Council Member Zach Hilton,20
Change Begins With Me Indivisible Group,20
California Chapter of the American Fence Contractors Association,20
"American Academy Of Pediatrics, California",20
Agencies,20
20 individuals,20
12 individuals,20
YIMBY SLO,19
United Chambers of Commerce of the San Fernando Valley,19
Toward Utility Rate Normalization (TURN),19
"The American Legion, Department of California",19
"San Jose, City of",19
San Jose Metropolitan Chamber of Commerce,19
"San Francisco Fire Fighters, Local 798",19
"Sacramento Central Labor Council, AFL-CIO",19
SLO County YIMBY,19
Plumbing-Heating-Cooling Contractors of California,19
Planned Parenthood Los Angeles,19
Pasadena Chamber of Commerce,19
Orange County Hispanic Chamber of Commerce,19
North Orange County Chamber,19
National Federation of Independent Business - California,19
"National Association Of Social Workers, California Chapter",19
Naral Pro-Choice California,19
Marin County Sheriff's Office,19
Marin,19
Long Beach Chamber of Commerce,19
Kern County Hispanic Chamber of Commerce,19
Indivisible North San Diego County,19
Indivisible Los Angeles,19
Indivisible Euclid,19
Indivisible Elmwood,19
Habitat for Humanity Greater San Francisco,19
Greater Stockton Chamber of Commerce,19
El Segundo Chamber of Commerce,19
El Concilio of San Mateo County,19
Climate Reality Project San Fernando Valley Chapter,19
Center for Public Interest Law/children's Advocacy Institute/university of San Diego,19
California NAACP,19
California Abortion and Reproductive Rights Action League,19
Asian Americans Advancing Justice - Southern California,19
American Civil Liberties Union of California (ACLU),19
Air-Conditioning & Refrigeration Contractors Association,19
350 Conejo/San Fernando Valley,19
(prior version),19
various individuals,18
Yimby LA,18
Vallejo-Benicia Indivisible,18
Utility Consumers' Action Network (UCAN),18
United Nurses Association of California/Union of Health,18
Sponsor,18
"Secretary of State Shirley N. Weber, Ph.D",18
SanDiego350,18
San Diego Indivisible Downtown,18
San Bernardino County Sheriff-Coroner,18
San Bernardino Area Chamber of Commerce,18
Salinas Valley Chamber of Commerce,18
Sacramento Metro Chamber of Commerce,18
Protection,18
Planned Parenthood Pasadena and San Gabriel Valley,18
Peace Officers' Research Association of California (PORAC),18
Napa Chamber of Commerce,18
Murrieta Wildomar Chamber of Commerce,18
Modesto Chamber of Commerce,18
Mixteco/Indigena Community Organizing Project,18
Los Angeles Probation Officers' Union,18
Lieutenant Governor,18
Languages,18
Indivisible Suffragists,18
Indivisible North Oakland Resistance,18
Indivisible Mendocino,18
Indivisible Colusa County,18
Indivisible CA-39,18
Indivisible CA-33,18
Hundreds of individuals,18
Governor Wilson,18
Foundation,18
El Centro Chamber of Commerce,18
Division,18
County of Los Angeles Sheriff's Department,18
Children's Defense Fund- California,18
"Children's Defense Fund, California",18
California State NAACP,18
California Nevada Conference of Operating Engineers,18
California National Organization for Women (NOW),18
Cal-TASH,18
CDF Firefighters Local 2881,18
Attorney General Kamala D. Harris,18
Associated Builders and Contractors Northern California Chapter,18
"Assembly Committee on Jobs, Economic Development, and the Economy",18
"Assembly Committee on Jobs, Economic Development and the Economy",18
Acterra: Action for A Healthy Planet,18
AAPIs for Civic Empowerment Education Fund,18
18 individuals,18
which,17
opposition,17
at Home,17
Yuba County,17
Women For,17
University,17
United Nurses Associations of California/union of Health Care Professionals,17
The Resistance Northridge-indivisible,17
The Association for Los Angeles Deputy Sheriffs,17
So Cal 350 Climate Action,17
Seven individuals,17
Section,17
Sea and Sage Audubon Society,17
Santa Barbara County District Attorney,17
San Francisco Democratic Party,17
SFV Indivisible,17
Pleasanton Chamber of Commerce,17
PTA,17
One Private Individual,17
Norco,17
"National Council of Jewish Women, Los Angeles",17
"National Alliance on Mental Illness, California",17
Monterey,17
Mono County,17
Money Out Voters In,17
Mendocino,17
Mayor Antonio Villaraigosa,17
Manhattan Beach Chamber of Commerce,17
League of Women Voters of California (prior version),17
League,17
Institute,17
Initiate Justice (UNREG),17
Indivisibles of Sherman Oaks,17
Indivisible OC 48,17
Indivisible OC 46,17
Indivisible Lorin,17
Housing Action Coalition (UNREG),17
Five Individuals,17
Elders Climate Action Socal Chapter,17
Elders Climate Action SoCal Chapter,17
E2,17
DPA,17
California Rural Legal Assistance Foundation (CRLAF),17
California Coalition,17
California Bankers Association (CBA),17
Calasian Chamber of Commerce,17
"Bill Lockyer, California State Treasurer",17
"American Institute of Architects, California",17
American Academy of Pediatrics - California,17
350 Conejo,17
2 private citizens,17
2 Private Individuals,17
11 individuals,17
(Unable to reverify Support,17
YIMBY Democrats of San Diego County,16
"VFW, Department of California",16
United Nurses Associations of California,16
The Wall Las Memorias Project,16
Santa Ana Chamber of Commerce,16
San Pedro Chamber of Commerce,16
SB **** END,16
Planned Parenthood of San Diego and Riverside Counties,16
OCHIN,16
Numerous letters from individuals,16
Northern California District Council - ILWU,16
National Alliance on Mental Illness-California,16
"NAIOP of California, the Commercial Real Estate Development Association",16
Mothers Against Drunk Driving (MADD),16
Mayor of Los Angeles,16
Many Individuals,16
"Los Angeles Probation Officers Union, AFSCME, Local 685",16
Los Angeles County Sheriff Lee Baca,16
"Long Beach Firefighters, Local 372",16
Letters from several individuals,16
Lakeside Chamber of Commerce,16
"Kern County Fire Fighters Union, Inc",16
Irwindale Chamber of Commerce,16
Indivisible Santa Cruz County,16
Indivisible SF Peninsula and CA-14,16
Indivisible Manteca,16
Indivisible El Dorado Hills,16
Indivisible CA-37,16
Indivisible CA-3,16
Huntington Beach Chamber of Commerce,16
Gardena Valley Chamber of Commerce,16
District Council of Iron Workers of The State of California and Vicinity,16
Deputy Sheriffs' Association of San Diego County,16
Cupertino Chamber of Commerce,16
Contra Costa County District Attorney,16
Consumers Attorneys of California,16
Congress of California Seniors (prior version),16
Community Action Fund of Planned Parenthood of Orange and San Bernardino Counties,16
Colleges,16
Cerritos Regional Chamber of Commerce,16
Center for Public Interest Law/Children's Advocacy Institute/University of San Diego,16
California State Council of the Service Employees International Union (SEIU),16
California Rural Legal Assistance Foundation (CRLA),16
California Employment Lawyers Association (CELA),16
California Asian Pacific Chamber of Commerce (CAPCC),16
CFT- a Union of Educators & Classified Professionals,16
Associated Builders and Contractors - San Diego Chapter,16
"American Federation of State, County and Municipal Employees (prior version)",16
"(As of June 20, 2008)",16
coalition,15
United Domestic Workers of America/AFSCME Local 3930,15
Ufcw - Western States Council,15
Tustin Chamber of Commerce,15
Torrance Chamber of Commerce,15
Teachers,15
Slo County Yimby,15
San Francisco District Attorney Brooke Jenkins,15
San Diego and Imperial Counties Labor Council,15
San Diego Chamber of Commerce,15
Redlands Chamber of Commerce,15
Orange Chamber of Commerce,15
Ontario,15
Officers Association,15
Non-toxic Neighborhoods,15
Newport Beach Chamber of Commerce,15
National City Chamber of Commerce,15
Multiple Individuals,15
Mid-Peninsula Housing Coalition,15
"Marin Professional Firefighters, Local 1775",15
Long Beach Fire Fighters,15
Lawyers Committee for Civil Rights of The San Francisco Bay Area,15
Koreatown Youth + Community Center,15
Kern County District Attorney,15
Jewish Family Service of Los Angeles (UNREG),15
Indivisible CA-7,15
Individual letters (3),15
Governor Arnold Schwarzenegger,15
Four Individuals,15
Elders Climate Action NorCal Chapter,15
Eight individuals,15
Development,15
Cupertino,15
"City of Los Angeles, Mayor Eric Garcetti",15
Chula Vista Chamber of Commerce,15
California Veterinary Medical Association (CVMA),15
California School Employees Association (prior version),15
California Medical Association (prior version),15
California Attorneys for Criminal Justice (CACJ),15
California Association of County Veterans Service Officer,15
CTIA - The Wireless Association,15
CA Business Properties Assoc,15
"Attorney General, State of California",15
Area Agency on Aging Advisory Council,15
American Federation,15
American Association of Retired Persons California,15
Agency,15
AFSCME CA,15
Upland Chamber of Commerce,14
Together We Will/Indivisible - Los Gatos,14
"Thousand Oaks, City of",14
Teamsters Local 399,14
Staff,14
Southern California Association of NonProfit Housing,14
South Bay Latino Chamber of Commerce,14
Several letters from individuals,14
"Service Employees International Union, Local 1000 (SEIU)",14
Santa Cruz Indivisible,14
Santa Clara District Attorney's Office,14
San Jose/Silicon Valley NAACP,14
Sacramento Area Fire Fighters Local 522,14
SLOCo YIMBY,14
Providence,14
Project,14
Prevent Child Abuse - California,14
Porterville Chamber of Commerce,14
